date,gallons,water%,color,,,,,,
9/19/2020,8,16.65,50,,,,,,
9/4/2020,10.4,17.9,50,,,,,,
8/29/2020,4.1,16.3,30,,,,,,
8/27/2020,6,16.9,55,,,,,,
8/18/2020,4,17.9,55,,,,,,
8/1/2020,3.5,17,40,,,,,,
7/18/2020,1.4,17.3,30,,,,,,
7/15/2020,5.534,18.5,45,,,,,,
6/29/2020,10.38,17.94,55,,,,,,
6/24/2020,11,17.53,47,,,,,,
6/9/2020,4.25,18.6,50,,,,,,
6/2/2020,1.225,19.1,71,,,,,,
5/16/2020,8.25,18.3,60,,,,,,
5/9/2020,8.8,17.6,40,,,,,,
5/2/2020,7.8,19,55,,,,,,
4/22/2020,7.3,18.5,57,,,,,,
2/29/2020,2.5,18.6,60,,,,,,
2/14/2020,2,NA,NA,,,,,,
1/29/2020,3.3,18.2,55,,,,,,
1/1/2020,3.932,18.7,55,,,,,,
12/26/2019,2,NA,NA,,,,,,
12/23/2019,7,NA,NA,,,,,,
12/21/2019,4.48,NA,NA,,,,,,
12/20/2019,4.3,NA,NA,,,,,,
11/29/2019,5.1,18.5,47,,,,,,
11/20/2019,2.4,17.7,57,,,,,,
11/18/2019,3,17.9,35,,,,,,
11/13/2019,1.5,18.2,25,,,,,,
11/8/2019,7.5,19.1,53,,,,,,
11/3/2019,2.3,18.1,55,,,,,,
9/28/2019,12.4,17.95,63.2,,,,,,
9/24/2019,4.1,18.8,60,,,,,,
9/19/2019,5.95,18.7,60,,,,,,
9/17/2019,15.3,17.9,53.7,,,,,,
9/16/2019,8.3,17.4,45.9,,,,,,
9/2/2019,3.04,17,40,,,,,,
8/7/2019,6,17.07,30,,,,,,
8/3/2019,3.5,17.4,50,,,,,,
7/22/2019,2,18,30,,,,,,
7/19/2019,7,18.05,52.5,,,,,,
7/13/2019,8,18.05,27.5,,,,,,
7/3/2019,3.5,18.3,40,,,,,,
6/29/2019,4,17.7,40,,,,,,
6/22/2019,2.5,17.1,25,,,,,,
6/15/2019,4,18.6,50,,,,,,
6/15/2019,4,18.6,50,,,,,,
6/8/2019,2,17.9,55,,,,,,
5/23/2019,2.3,18.1,60,,,,,,
5/13/2019,3.6,17.5,60,,,,,,
4/23/2019,2.34,19.1,80,,,,,,
3/23/2019,2.33,18.5,80,,,,,,
3/12/2019,1.75,18.4,80,,,,,,
2/16/2019,4.5,18,70,,,,,,
1/26/2019,6.2,19.1,90,,,,,,
1/26/2019,4,19.2,80,,,,,,
1/19/2019,2.25,18,85,,,,,,
1/12/2019,4,18.8,70,,,,,,
1/2/2019,4,18.7,70,,,,,,
12/3/2018,5.1,18,45,,,,,,
12/1/2018,10,17.8,35,,,,,,
11/10/2018,6.6,18.8,50,,,,,,
11/7/2018,8,18.4,50,,,,,,
10/15/2018,4.5,18.9,55,,,,,,
10/13/2018,7,18.6,50,,,,,,
10/13/2018,1.2,20.3,45,,,,,,
10/7/2018,5.3,16.3,37,,,,,,
9/19/2018,3.25,15.8,30,,,,,,
9/12/2018,4,17.7,20,,,,,,
8/20/2018,2.58,15.6,50,,,,,,
8/18/2018,2.525,17.3,45,,,,,,
8/8/2018,5.39,17.5,50,,,,,,
8/6/2018,15.3,18.4,55,,,,,,
8/4/2018,4.6,17.9,35,,,,,,
8/1/2018,7.3,15.7,30,,,,,,
7/16/2018,5.75,18.2,40,,,,,,
7/9/2018,2.8,18.2,85,,,,,,
3/8/2018,3.7,17.6,60,,,,,,
2/18/2018,3.25,18.4,95,,,,,,
12/22/2017,4,19,80,,,,,,
12/22/2017,4.3,18.5,75,,,,,,
12/19/2017,1,17.9,80,,,,,,
12/9/2017,7.367,18.6,80,,,,,,
12/2/2017,5.5,17.4,80,,,,,,
12/1/2017,6.25,18.8,85,,,,,,
11/25/2017,4,18.5,80,,,,,,
11/4/2017,14,17.5,68,,,,,,
10/29/2017,4,19.2,70,,,,,,
10/27/2017,6,18.8,55,,,,,,
10/9/2017,3.5,17.6,50,,,,,,
10/7/2017,8.75,17.1,70,,,,,,
9/11/2017,4.5,18.5,85,,,,,,
9/2/2017,4.2,18,30,,,,,,
8/30/2017,2.38,18.6,50,,,,,,
8/28/2017,8.5,17.3,65,,,,,,
8/26/2017,8.6,18.3,75,,,,,,
8/23/2017,4.8,16.8,80,,,,,,
7/24/2017,5.875,17.3,60,,,,,,
6/30/2017,2,18.1,80,,,,,,
5/29/2017,7,18.2,84,,,,,,
5/15/2017,2,17.6,90,,,,,,z
5/5/2017,3.75,17.7,70,,,,,,
4/28/2017,3,19.6,90,,,,,,
3/26/2017,4,17.9,65,,,,,,
3/14/2017,1.75,17.3,70,,,,,,
2/26/2017,2.1,18.5,60,,,,,,
